ticker,company,target_from,target_to,action,rating_from,rating_to,time,rating_from_score,rating_to_score,rating_delta,rating_magnitude,target_delta,target_growth,year,month,day,weekday,weekday_num,quarter
HSTM,HealthStream,29.0,28.0,target lowered by,Hold,Hold,2025-08-08 00:30:09,0.0,0.0,0.0,0.0,-1.0,-0.034482758620689655,2025,8,8,Friday,4,3
ICE,Intercontinental Exchange,192.0,188.0,target lowered by,Equal Weight,Equal Weight,2025-10-02 00:30:09,0.0,0.0,0.0,0.0,-4.0,-0.020833333333333332,2025,10,2,Thursday,3,4
CB,Chubb,277.0,293.0,target raised by,Equal Weight,Equal Weight,2025-10-24 00:30:05,0.0,0.0,0.0,0.0,16.0,0.05776173285198556,2025,10,24,Friday,4,4
ESNT,Essent Group,60.0,60.0,target set by,Neutral,Neutral,2025-08-09 00:30:09,0.0,0.0,0.0,0.0,0.0,0.0,2025,8,9,Saturday,5,3
PIII,P3 Health Partners,20.0,20.0,initiated by,Buy,Buy,2025-08-29 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,29,Friday,4,3
NPO,Enpro,215.0,240.0,target raised by,Outperform,Outperform,2025-08-07 00:30:08,2.0,2.0,0.0,0.0,25.0,0.11627906976744186,2025,8,7,Thursday,3,3
RXRX,Recursion Pharmaceuticals,8.0,8.0,reiterated by,Buy,Buy,2025-09-12 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,12,Friday,4,3
BRZE,Braze,50.0,50.0,reiterated by,Overweight,Overweight,2025-10-02 00:30:10,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,2,Thursday,3,4
IFRX,InflaRx,6.0,6.0,initiated by,Buy,Buy,2025-09-03 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,3,Wednesday,2,3
TCBK,TriCo Bancshares,52.0,55.0,target raised by,Overweight,Overweight,2025-07-29 00:30:07,2.0,2.0,0.0,0.0,3.0,0.057692307692307696,2025,7,29,Tuesday,1,3
VNDA,Vanda Pharmaceuticals,20.0,20.0,reiterated by,Buy,Buy,2025-08-22 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,22,Friday,4,3
INBK,First Internet Bancorp,27.0,25.0,target lowered by,Market Perform,Market Perform,2025-10-25 00:30:05,0.0,0.0,0.0,0.0,-2.0,-0.07407407407407407,2025,10,25,Saturday,5,4
PBPB,Potbelly,18.0,18.0,downgraded by,Buy,Hold,2025-09-15 00:30:05,2.0,0.0,-2.0,2.0,0.0,0.0,2025,9,15,Monday,0,3
HCA,HCA Healthcare,390.0,445.0,target raised by,Overweight,Overweight,2025-09-19 00:30:05,2.0,2.0,0.0,0.0,55.0,0.14102564102564102,2025,9,19,Friday,4,3
ENLT,Enlight Renewable Energy,30.0,30.0,reiterated by,Buy,Hold,2025-10-02 00:00:06,2.0,0.0,-2.0,2.0,0.0,0.0,2025,10,2,Thursday,3,4
REXR,Rexford Industrial Realty,50.0,50.0,initiated by,Overweight,Overweight,2025-10-02 00:30:10,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,2,Thursday,3,4
EDIT,Editas Medicine,5.0,5.0,reiterated by,Buy,Buy,2025-09-08 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,8,Monday,0,3
AMPH,Amphastar Pharmaceuticals,28.0,32.0,target raised by,Neutral,Neutral,2025-08-27 00:30:05,0.0,0.0,0.0,0.0,4.0,0.14285714285714285,2025,8,27,Wednesday,2,3
AAP,Advance Auto Parts,55.0,60.0,target raised by,Equal Weight,Equal Weight,2025-09-15 00:30:05,0.0,0.0,0.0,0.0,5.0,0.09090909090909091,2025,9,15,Monday,0,3
MIRM,Mirum Pharmaceuticals,95.0,95.0,initiated by,Buy,Buy,2025-09-25 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,25,Thursday,3,3
BTCS,BTCS,5.0,7.0,target raised by,Buy,Buy,2025-08-17 00:30:05,2.0,2.0,0.0,0.0,2.0,0.4,2025,8,17,Sunday,6,3
SSD,Simpson Manufacturing,185.0,190.0,target raised by,Neutral,Neutral,2025-09-26 00:30:05,0.0,0.0,0.0,0.0,5.0,0.02702702702702703,2025,9,26,Friday,4,3
STEP,StepStone Group,74.0,74.0,initiated by,Outperform,Outperform,2025-10-06 00:30:12,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4
WCN,Waste Connections,192.0,194.0,target raised by,Equal Weight,Equal Weight,2025-10-24 00:30:05,0.0,0.0,0.0,0.0,2.0,0.010416666666666666,2025,10,24,Friday,4,4
UPWK,Upwork,20.0,27.0,target raised by,Market Outperform,Market Outperform,2025-09-25 00:30:05,2.0,2.0,0.0,0.0,7.0,0.35,2025,9,25,Thursday,3,3
FLG,Flagstar Financial,14.0,14.0,target set by,Underperform,Underperform,2025-09-30 00:30:08,-3.0,-3.0,0.0,0.0,0.0,0.0,2025,9,30,Tuesday,1,3
EYE,National Vision,17.0,22.0,target raised by,Neutral,Neutral,2025-08-08 00:30:09,0.0,0.0,0.0,0.0,5.0,0.29411764705882354,2025,8,8,Friday,4,3
TPG,TPG,65.0,65.0,initiated by,Outperform,Outperform,2025-10-06 00:30:12,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4
BIP,Brookfield Infrastructure Partners,34.0,35.0,target set by,Outperform,Outperform,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,1.0,0.029411764705882353,2025,9,28,Sunday,6,3
SKIN,Beauty Health,2.0,2.5,target raised by,Hold,Hold,2025-09-23 00:30:07,0.0,0.0,0.0,0.0,0.5,0.25,2025,9,23,Tuesday,1,3
BC,Brunswick,60.0,70.0,target raised by,Neutral,Neutral,2025-10-25 00:30:05,0.0,0.0,0.0,0.0,10.0,0.16666666666666666,2025,10,25,Saturday,5,4
INCY,Incyte,72.0,81.0,target raised by,Sector Perform,Sector Perform,2025-09-25 00:30:05,,,,,9.0,0.125,2025,9,25,Thursday,3,3
PBF,PBF Energy,24.0,27.0,target set by,Equal Weight,Underweight,2025-10-06 00:30:13,0.0,-2.0,-2.0,2.0,3.0,0.125,2025,10,6,Monday,0,4
BFAM,Bright Horizons Family Solutions,104.0,96.0,target lowered by,Underweight,Underweight,2025-10-25 00:30:05,-2.0,-2.0,0.0,0.0,-8.0,-0.07692307692307693,2025,10,25,Saturday,5,4
ALEC,Alector,5.0,5.0,reiterated by,Buy,Buy,2025-09-26 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,26,Friday,4,3
UCB,United Community Banks,32.0,34.0,target raised by,Market Perform,Market Perform,2025-07-29 00:30:08,0.0,0.0,0.0,0.0,2.0,0.0625,2025,7,29,Tuesday,1,3
ZION,"Zions Bancorporation, N.A.",62.0,64.0,target raised by,Outperform,Outperform,2025-10-01 00:30:06,2.0,2.0,0.0,0.0,2.0,0.03225806451612903,2025,10,1,Wednesday,2,4
HR,Healthcare Realty Trust,23.0,23.0,initiated by,Overweight,Overweight,2025-10-02 00:30:09,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,2,Thursday,3,4
PNFP,Pinnacle Financial Partners,122.0,122.0,initiated by,Buy,Buy,2025-09-26 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,26,Friday,4,3
BRKR,Bruker,43.0,40.0,target lowered by,Overweight,Overweight,2025-10-03 00:30:06,2.0,2.0,0.0,0.0,-3.0,-0.06976744186046512,2025,10,3,Friday,4,4
AMN,AMN Healthcare Services,20.0,18.0,target lowered by,Underperform,Underperform,2025-09-11 00:30:14,-3.0,-3.0,0.0,0.0,-2.0,-0.1,2025,9,11,Thursday,3,3
EVGO,EVgo,5.0,5.4,target raised by,Buy,Buy,2025-08-21 00:30:05,2.0,2.0,0.0,0.0,0.40000000000000036,0.08000000000000007,2025,8,21,Thursday,3,3
ORLY,O'Reilly Automotive,105.0,115.0,target raised by,Overweight,Overweight,2025-10-24 00:30:05,2.0,2.0,0.0,0.0,10.0,0.09523809523809523,2025,10,24,Friday,4,4
CNI,Canadian National Railway,99.0,97.0,target lowered by,Equal Weight,Equal Weight,2025-10-03 00:30:06,0.0,0.0,0.0,0.0,-2.0,-0.020202020202020204,2025,10,3,Friday,4,4
ATEC,Alphatec,21.0,22.0,target raised by,Overweight,Overweight,2025-08-05 00:30:06,2.0,2.0,0.0,0.0,1.0,0.047619047619047616,2025,8,5,Tuesday,1,3
NEXA,Nexa Resources,5.5,5.5,initiated by,Neutral,Neutral,2025-09-17 00:30:05,0.0,0.0,0.0,0.0,0.0,0.0,2025,9,17,Wednesday,2,3
GAP,GAP,27.0,28.0,target raised by,Overweight,Overweight,2025-09-17 00:30:05,2.0,2.0,0.0,0.0,1.0,0.037037037037037035,2025,9,17,Wednesday,2,3
VIR,Vir Biotechnology,15.0,15.0,reiterated by,Buy,Buy,2025-09-16 00:30:10,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,16,Tuesday,1,3
EE,Excelerate Energy,30.0,30.0,initiated by,Neutral,Neutral,2025-09-09 00:30:06,0.0,0.0,0.0,0.0,0.0,0.0,2025,9,9,Tuesday,1,3
SIBN,SiBone,25.0,25.0,target set by,Overweight,Overweight,2025-08-12 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,12,Tuesday,1,3
CIB,BanColombia,41.0,49.0,upgraded by,Underperform,Neutral,2025-08-08 00:30:09,-3.0,0.0,3.0,3.0,8.0,0.1951219512195122,2025,8,8,Friday,4,3
XLO,Xilio Therapeutics,2.0,2.0,initiated by,Outperform,Outperform,2025-08-07 00:30:08,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,7,Thursday,3,3
AJG,Arthur J. Gallagher & Co.,352.0,340.0,target lowered by,Overweight,Overweight,2025-10-03 00:30:07,2.0,2.0,0.0,0.0,-12.0,-0.03409090909090909,2025,10,3,Friday,4,4
URGN,Urogen Pharma,25.0,25.0,reiterated by,Buy,Buy,2025-10-06 00:30:12,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4
BHF,Brighthouse Financial,57.0,50.0,target lowered by,Market Perform,Market Perform,2025-08-12 00:30:05,0.0,0.0,0.0,0.0,-7.0,-0.12280701754385964,2025,8,12,Tuesday,1,3
SRI,Stoneridge,16.0,16.0,reiterated by,Outperform,Outperform,2025-08-21 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,21,Thursday,3,3
PENN,PENN Entertainment,25.0,22.0,target lowered by,Buy,Buy,2025-08-09 00:30:10,2.0,2.0,0.0,0.0,-3.0,-0.12,2025,8,9,Saturday,5,3
CNCK,Coincheck Group,9.0,6.0,reiterated by,Overweight,Neutral,2025-08-09 00:30:10,2.0,0.0,-2.0,2.0,-3.0,-0.3333333333333333,2025,8,9,Saturday,5,3
RPAY,Repay,4.5,5.75,reiterated by,Neutral,Neutral,2025-08-14 00:30:06,0.0,0.0,0.0,0.0,1.25,0.2777777777777778,2025,8,14,Thursday,3,3
MIST,Milestone Pharmaceuticals,4.0,4.0,initiated by,Overweight,Overweight,2025-09-12 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,12,Friday,4,3
AGIO,Agios Pharmaceuticals,56.0,56.0,reiterated by,Buy,Buy,2025-09-05 00:30:04,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,5,Friday,4,3
ITOS,iTeos Therapeutics,12.0,11.0,target lowered by,Equal Weight,Equal Weight,2025-08-08 00:30:09,0.0,0.0,0.0,0.0,-1.0,-0.08333333333333333,2025,8,8,Friday,4,3
LOB,Live Oak Bancshares,37.0,35.0,target lowered by,Neutral,Neutral,2025-10-25 00:30:05,0.0,0.0,0.0,0.0,-2.0,-0.05405405405405406,2025,10,25,Saturday,5,4
A,Agilent Technologies,125.0,150.0,target raised by,Equal Weight,Equal Weight,2025-10-03 00:30:06,0.0,0.0,0.0,0.0,25.0,0.2,2025,10,3,Friday,4,4
NFE,New Fortress Energy,7.0,4.0,downgraded by,Buy,Hold,2025-08-14 00:30:07,2.0,0.0,-2.0,2.0,-3.0,-0.42857142857142855,2025,8,14,Thursday,3,3
AKA,a.k.a. Brands,10.0,13.0,target raised by,Market Perform,Market Perform,2025-08-08 00:30:09,0.0,0.0,0.0,0.0,3.0,0.3,2025,8,8,Friday,4,3
GXO,GXO Logistics,58.0,63.0,target raised by,Buy,Buy,2025-10-06 00:30:12,2.0,2.0,0.0,0.0,5.0,0.08620689655172414,2025,10,6,Monday,0,4
AER,Aercap,130.0,134.0,target raised by,Positive,Positive,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,4.0,0.03076923076923077,2025,8,14,Thursday,3,3
ALB,Albemarle,100.0,120.0,target raised by,Buy,Buy,2025-10-25 00:30:05,2.0,2.0,0.0,0.0,20.0,0.2,2025,10,25,Saturday,5,4
VRTX,Vertex Pharmaceuticals,550.0,575.0,target raised by,Buy,Buy,2025-10-03 00:30:06,2.0,2.0,0.0,0.0,25.0,0.045454545454545456,2025,10,3,Friday,4,4
BOOT,Boot Barn,195.0,210.0,target raised by,Overweight,Overweight,2025-08-03 00:30:07,2.0,2.0,0.0,0.0,15.0,0.07692307692307693,2025,8,3,Sunday,6,3
STIM,Neuronetics,8.0,7.0,target lowered by,Buy,Buy,2025-08-07 00:30:07,2.0,2.0,0.0,0.0,-1.0,-0.125,2025,8,7,Thursday,3,3
SHC,Sotera Health,17.0,19.0,target raised by,Overweight,Overweight,2025-10-03 00:30:06,2.0,2.0,0.0,0.0,2.0,0.11764705882352941,2025,10,3,Friday,4,4
OXM,Oxford Industries,47.0,50.0,target raised by,Hold,Hold,2025-09-12 00:30:05,0.0,0.0,0.0,0.0,3.0,0.06382978723404255,2025,9,12,Friday,4,3
FNKO,Funko,5.5,2.5,target lowered by,Neutral,Neutral,2025-08-15 00:30:05,0.0,0.0,0.0,0.0,-3.0,-0.5454545454545454,2025,8,15,Friday,4,3
SRE,Sempra Energy,88.0,95.0,target raised by,Outperform,Outperform,2025-09-26 00:30:06,2.0,2.0,0.0,0.0,7.0,0.07954545454545454,2025,9,26,Friday,4,3
DRS,Leonardo DRS,50.0,50.0,initiated by,Buy,Buy,2025-08-12 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,12,Tuesday,1,3
MREO,Mereo BioPharma Group,7.0,8.0,target raised by,Overweight,Overweight,2025-08-26 00:30:04,2.0,2.0,0.0,0.0,1.0,0.14285714285714285,2025,8,26,Tuesday,1,3
LII,Lennox International,535.0,475.0,target lowered by,Underweight,Underweight,2025-10-24 00:30:05,-2.0,-2.0,0.0,0.0,-60.0,-0.11214953271028037,2025,10,24,Friday,4,4
MVIS,Microvision,2.0,2.0,reiterated by,Buy,Buy,2025-09-08 00:30:05,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,8,Monday,0,3
HNRG,Hallador Energy,17.0,17.0,downgraded by,Buy,Neutral,2025-08-13 00:30:06,2.0,0.0,-2.0,2.0,0.0,0.0,2025,8,13,Wednesday,2,3
