ticker,date,last_open,last_high,last_low,last_close,last_volume,rvi,hlc3,ema,hma,tema,fwma,hwma,kama,swma,mi,atr,price_distance,mfi,obv,pvt
CRWD,2025-10-06 00:30:13,495.510009765625,503.5,494.3800048828125,495.95001220703125,1949400,51.604970957641335,497.94333902994794,474.80582163978517,498.8198310977556,504.6209168255329,493.51676868716584,524.5584730625168,484.92472058699246,488.0603352864583,0.9669837235281771,14.589005197497398,5.210237001915365,67.46916373109859,-12896000.0,82380709.64759265
CCOI,2025-09-03 00:30:05,36.599998474121094,36.810001373291016,35.310001373291016,36.130001068115234,1090400,52.6317712389343,36.083334604899086,37.934439046835315,38.458384637543645,36.267421812530145,36.9656948350231,34.25943349377771,37.19966866041136,37.685499827067055,0.9341885110390657,1.9359824610338887,0.4699715477439903,58.55020920487701,1450200.0,-96916247.72628996
VVV,2025-09-09 00:30:06,39.84000015258789,39.84000015258789,38.95000076293945,39.7599983215332,2087400,45.07958203751807,39.516666412353516,38.907207191280726,39.00882233045833,39.59662902437364,39.474106076852806,40.36691296553373,39.00481964158158,38.9173334757487,0.9430731967734476,0.8688705547054791,1.3897691532297658,38.86534334779515,717200.0,36218867.78717778
PVLA,2025-10-03 00:30:06,63.0,65.80000305175781,61.72800064086914,65.77999877929688,151200,66.67680490717191,64.43600082397461,58.88605291934475,62.95758378066026,63.619144781391014,63.53698204316237,61.73672772657884,58.587025763121126,60.671666081746416,1.0288554206408902,3.747007935935768,11.693139399059655,65.39537133781799,3568900.0,27112815.466794584
LUMN,2025-10-06 00:30:13,6.75,7.389999866485596,6.730000019073486,7.159999847412109,23047500,60.479320256091796,7.0933332443237305,5.954933528391695,6.34568958751051,6.627146052746855,6.633120783461749,6.711740847235441,5.817140765666742,6.07999997138977,1.1244331756111958,0.42311002802599024,19.253828313812143,78.1134857523576,-1893600.0,825043312.1479323
IVR,2025-09-04 00:30:06,7.5729899990790575,7.6590468486873995,7.534742611685311,7.630361080169678,3033500,64.08884984741476,7.608050180180796,7.401361048644712,7.513330902929429,7.533751321506744,7.540435301119967,7.528347057823916,7.361380034054331,7.443267313639323,0.9299055422913884,0.1276393403575066,3.5153737682232316,72.17565659467844,15651400.0,19341782.780733846
ZNTL,2025-08-08 00:30:09,1.4600000381469727,1.5499999523162842,1.4149999618530273,1.440000057220459,497200,47.62037746109832,1.46833332379659,1.3943781122911327,1.3872610495049198,1.4260090135040548,1.422051413566766,1.4490055066597798,1.3877334975175737,1.3856666723887126,0.9725025973376386,0.09136645929397684,2.236425078216751,57.44612151057498,-5870300.0,-7841192.586943641
MIAX,2025-10-02 00:30:10,38.959999084472656,41.47999954223633,38.959999084472656,41.029998779296875,1315000,44.8470671336798,40.48999913533529,38.78353134937369,41.39149018704633,,40.397126287743575,41.9353622719138,39.57438029765257,40.706999969482425,0.884413229909484,2.1068661445461205,5.61540063652326,55.88094208893704,6749300.0,39324580.61548353
FTRE,2025-10-03 00:30:06,9.760000228881836,9.890000343322754,9.25,9.449999809265137,1174700,50.52458620410825,9.53000005086263,9.368670254911308,8.719569414105765,9.08765322961949,9.31367597574571,8.602523619359564,9.54432897453979,8.958666769663493,0.9836153402053998,0.6218452575697793,-2.350816291502713,34.62070953649489,34867100.0,284008951.48067737
OPAD,2025-08-13 00:30:07,1.4199999570846558,1.4299999475479126,1.2699999809265137,1.2999999523162842,635600,27.93131477369634,1.3333332935969036,1.402588141039463,0.9835588703165836,1.1507671729749847,1.2745657585826313,1.0696163072710865,1.1834199781482266,1.1616666674613954,0.9018874447902987,0.342525973319068,-20.610689645908046,20.30506349730821,-1202300.0,1025007112.3743744
