target_from,target_to,rating_from_score,rating_to_score,rating_delta,rating_magnitude,target_delta,target_growth,relative_growth,last_close
20.0,18.0,-3,-3,0,0,-2.0,-0.1,-2.292792176223763,18.959999084472656
5.0,5.4,2,2,0,0,0.4000000000000003,0.08,-0.7414415647552471,3.839999914169311
105.0,115.0,2,2,0,0,10.0,0.0952380952380952,5.4639608811188145,97.2699966430664
99.0,97.0,0,0,0,0,-2.0,-0.0202020202020202,-2.292792176223763,96.37999725341795
21.0,22.0,2,2,0,0,1.0,0.0476190476190476,-0.3536039118881185,15.34000015258789
5.5,5.5,0,0,0,0,0.0,0.0,-1.0,5.090000152587891
27.0,28.0,2,2,0,0,1.0,0.037037037037037,-0.3536039118881185,22.63137435913086
15.0,15.0,2,2,0,0,0.0,0.0,-1.0,4.860000133514404
30.0,30.0,0,0,0,0,0.0,0.0,-1.0,23.020000457763672
25.0,25.0,2,2,0,0,0.0,0.0,-1.0,15.199999809265137
41.0,49.0,-3,0,3,3,8.0,0.1951219512195122,4.171168704895051,47.04999923706055
2.0,2.0,2,2,0,0,0.0,0.0,-1.0,0.6549999713897705
352.0,340.0,2,2,0,0,-12.0,-0.034090909090909,-8.756753057342578,310.4800109863281
25.0,25.0,2,2,0,0,0.0,0.0,-1.0,17.049999237060547
57.0,50.0,0,0,0,0,-7.0,-0.1228070175438596,-5.524772616783171,46.13999938964844
16.0,16.0,2,2,0,0,0.0,0.0,-1.0,8.119999885559082
25.0,22.0,2,2,0,0,-3.0,-0.12,-2.9391882643356446,16.959999084472656
9.0,6.0,2,0,-2,2,-3.0,-0.3333333333333333,-2.9391882643356446,4.34499979019165
4.5,5.75,0,0,0,0,1.25,0.2777777777777778,-0.1920048898601482,5.510000228881836
4.0,4.0,2,2,0,0,0.0,0.0,-1.0,1.9600000381469729
56.0,56.0,2,2,0,0,0.0,0.0,-1.0,36.0099983215332
12.0,11.0,0,0,0,0,-1.0,-0.0833333333333333,-1.6463960881118815,10.109999656677246
37.0,35.0,0,0,0,0,-2.0,-0.054054054054054,-2.292792176223763,34.189998626708984
125.0,150.0,0,0,0,0,25.0,0.2,15.159902202797037,141.63999938964844
7.0,4.0,2,0,-2,2,-3.0,-0.4285714285714285,-2.9391882643356446,2.390000104904175
10.0,13.0,0,0,0,0,3.0,0.3,0.9391882643356444,12.119999885559082
58.0,63.0,2,2,0,0,5.0,0.0862068965517241,2.2319804405594073,55.43000030517578
130.0,134.0,2,2,0,0,4.0,0.0307692307692307,1.5855843524475255,112.73999786376952
100.0,120.0,2,2,0,0,20.0,0.2,11.927921762237627,105.63999938964844
550.0,575.0,2,2,0,0,25.0,0.0454545454545454,15.159902202797037,403.2999877929687
195.0,210.0,2,2,0,0,15.0,0.0769230769230769,8.695941321678221,170.88999938964844
8.0,7.0,2,2,0,0,-1.0,-0.125,-1.6463960881118815,4.005000114440918
17.0,19.0,2,2,0,0,2.0,0.1176470588235294,0.2927921762237629,15.949999809265137
47.0,50.0,0,0,0,0,3.0,0.0638297872340425,0.9391882643356444,46.27803039550781
5.5,2.5,0,0,0,0,-3.0,-0.5454545454545454,-2.9391882643356446,2.7799999713897705
88.0,95.0,2,2,0,0,7.0,0.0795454545454545,3.52477261678317,87.95496368408203
50.0,50.0,2,2,0,0,0.0,0.0,-1.0,41.77846908569336
7.0,8.0,2,2,0,0,1.0,0.1428571428571428,-0.3536039118881185,1.7599999904632568
535.0,475.0,-2,-2,0,0,-60.0,-0.1121495327102803,-39.783765286712885,496.239990234375
