ticker,date,last_open,last_high,last_low,last_close,last_volume,atr,std_dev,ulcer_index,price_distance,obv,ad_line,pvt,force_index,hlc3,typical_price,vwap,volume_close_min,volume_close_max
PFG,2025-08-19 00:30:05,77.07285930109965,78.41962961107043,76.86490312083316,77.83536529541016,948400,1.4745072412048685,1.7918970840266357,5.728561615066207,0.906357256969809,4288000.0,-227302.23067866702,-4720498.770426973,135420.3924795542,77.70663267577125,77.70663267577125,77.70663267577125,59224987.15209961,235961122.2038269
LAZ,2025-10-25 00:30:05,50.34000015258789,50.5,48.95000076293945,49.209999084472656,1152800,1.7984506467126278,1.4654062683309699,14.581754589184026,-1.8782911671304952,-7722600.0,-92773.5358528475,-7211636.556498469,-300652.12452998577,49.5533332824707,49.5533332824707,49.5533332824707,21670000.0,91800366.00379944
NBHC,2025-09-19 00:30:05,41.61000061035156,41.630001068115234,39.84000015258789,39.959999084472656,821300,1.0407521493458216,0.7846591352402885,3.865189242266049,2.365223681805165,-1339000.0,676180.0008901524,3268553.436763039,97617.09031597363,40.47666676839193,40.47666676839193,40.47666676839193,6851663.187026978,32819147.248077393
TRIP,2025-10-01 00:30:06,16.06999969482422,16.360000610351562,15.710000038146973,15.729999542236328,2649800,0.8563588588605191,0.8805315024965756,8.76780573891091,-11.317831084515065,-17517500.0,-16227672.643793583,73493773.21255709,-744909.4807335474,15.933333396911621,15.933333396911621,15.933333396911621,25814512.753486633,123313903.50036621
NRDS,2025-08-12 00:30:05,9.5600004196167,9.979999542236328,9.5600004196167,9.829999923706055,915200,0.49988668953584786,0.52635882693343,10.196748991937483,-6.798142189621864,-1003700.0,3176574.995983557,-32116362.905186843,-363839.0566715665,9.789999961853027,9.789999961853027,9.789999961853027,2633759.9716186523,21371040.71044922
TDG,2025-10-01 00:30:06,1304.760009765625,1333.02001953125,1298.3499755859375,1300.800048828125,335900,27.96318644617762,12.074874123972487,14.889991853402467,0.785882545862059,1752300.0,1346614.1915222283,-17470593.632140458,196672.71876898856,1310.7233479817708,1310.7233479817708,1310.7233479817708,253474421.6796875,904948449.4262695
BOX,2025-09-19 00:30:05,32.22999954223633,32.35499954223633,32.07500076293945,32.16999816894531,3327900,0.6486239691686937,0.5513839166366445,5.595026179615443,-0.9285125129844101,-1623900.0,-2316773.707674504,2508724.5762690334,-59665.12085940769,32.199999491373696,32.199999491373696,32.199999491373696,42298758.81614685,183872910.8139038
ORGO,2025-09-28 00:30:11,4.679999828338623,4.679999828338623,3.944999933242798,4.099999904632568,2457000,0.2670220710866939,0.22506378452953593,8.716419119858372,-14.990671718616142,3777200.0,-634968.1629905265,-11792590.924241982,-195680.75029136904,4.241666555404663,4.241666555404663,4.241666555404663,1561756.0750961304,10841255.95664978
SNV,2025-10-02 00:30:09,48.459999084472656,48.86000061035156,47.56999969482422,48.150001525878906,1241500,1.2081340525471655,1.0521076382994639,15.715386923150513,-4.279405162663819,-27031300.0,12750140.541295435,-126022842.18253496,-418036.50692669227,48.1933339436849,48.1933339436849,48.1933339436849,43548545.38650513,137630704.76417542
CE,2025-10-03 00:30:06,45.380001068115234,45.83000183105469,44.81999969482422,45.13999938964844,1727900,1.9098125910690036,1.980410958773609,30.801538027384865,2.8199164840054354,-24440800.0,-12227087.968142614,-178944312.27696794,553012.4279912965,45.26333363850912,45.26333363850912,45.26333363850912,46238398.45275879,133490421.80404663
PII,2025-10-02 00:30:09,61.970001220703125,63.599998474121094,61.81999969482422,62.63999938964844,1037200,2.316041780460204,1.8363508670985091,4.284005396525923,7.282317042985817,4364100.0,8898077.356721334,126815443.27512707,654663.4839882492,62.686665852864586,62.686665852864586,62.686665852864586,41378400.0,151553537.67089844
RYTM,2025-09-30 00:30:08,100.83000183105469,103.06999969482422,100.56500244140625,100.98999786376953,624600,3.1282431467096243,2.4538170824648478,6.568800498849261,1.9696716867715656,7369500.0,5113099.950748905,180406950.8518436,121419.85989014374,101.54166666666667,101.54166666666667,101.54166666666667,36267045.26824951,132418706.63452148
RGLD,2025-10-24 00:30:05,180.0,185.14999389648438,179.6199951171875,182.47000122070312,813300,6.612160296670633,7.365615996897635,6.900003295842932,-6.920757174812284,10725900.0,986678.2033553428,-10233274.919980904,-6399156.84940132,182.413330078125,182.413330078125,182.413330078125,148402851.99279785,1170542878.8146973
CNTB,2025-08-14 00:30:06,2.3499999046325684,2.359999895095825,2.0510001182556152,2.1500000953674316,144900,0.2826288829678519,0.17667320239581957,13.36401009973064,1.8233533760198046,2537800.0,1972217.8656626814,64225564.877626956,7695.566304973361,2.187000036239624,2.187000036239624,2.187000036239624,144692.99533367157,1999914.0961647034
AEYE,2025-08-09 00:30:09,11.029999732971191,11.300000190734863,9.90999984741211,10.100000381469727,500400,0.8953061677170562,0.8809199869467257,14.945041571906199,-18.012822975210245,-1088300.0,-1414284.3799079503,-5723446.217196571,-117986.81727380118,10.4366668065389,10.4366668065389,10.4366668065389,720165.0023460388,5054040.190887451
FENC,2025-08-22 00:30:04,8.270000457763672,8.729999542236328,8.104999542236328,8.65999984741211,166000,0.5132138227323889,0.355475512410749,9.476551027914503,3.5947122189456335,-603600.0,246846.71279626832,859176.992818938,8917.755687513203,8.498332977294922,8.498332977294922,8.498332977294922,232287.99896240234,1437559.9746704102
CUZ,2025-10-01 00:30:05,28.658558026361757,28.97500833579576,28.411330986342364,28.727781295776367,974000,0.5326308644557677,0.40338426370098646,2.8969703015091546,0.34541868569411044,-8253000.0,-1784450.838455331,-6890943.196838734,56164.13823447784,28.704706872638166,28.704706872638166,28.704706872638166,25638507.966041565,88286087.12482452
NBIX,2025-09-23 00:30:07,146.0,147.55999755859375,145.6699981689453,146.39999389648438,664800,3.0866336430584216,3.061724760914803,1.2229829281618498,3.1454388346602697,9021600.0,7433428.845164936,418988.85230644327,321411.7197174898,146.54332987467447,146.54332987467447,146.54332987467447,62467425.09765625,248575660.68725586
DSGR,2025-08-26 00:30:04,33.5,33.79999923706055,32.900001525878906,33.060001373291016,63300,0.9496753444451033,1.4165796910845183,2.1231373225922163,4.930732125474015,-206000.0,53341.58110844414,1784141.9539346239,16899.264417404444,33.253334045410156,33.253334045410156,33.253334045410156,859611.9813919067,3098897.9290008545
